pore_number,pore_N,Canonical_STRONGs,formation_time,formation_probability,formation_energy
195,9,AAFFFZFFZFZFFFACAFFFZFFZFFZF,141.75,0.0014,792.10
196,9,AAFFFZFFZFFAAFZFFZFFFZFZFZFF,139.71,0.0004,817.10
197,9,AAFFFZFAAFFFZFFZFFSFFZFZFFF,138.67,0.0008,779.24
198,9,AAFFFZFZFFFZFZFZFZFFZFFFZFZF,142.35,0.0014,877.25
199,9,ASFFZFFZFFZFZFZFFFZFZFFZFF,141,0.0012,805.41
200,9,AAFZFFFZFFZFZFFZFZFZFFFZFFZF,139.71,0.0005,866.17
201,9,AAFFFSFFZFZFFZFFFAAFZFFZFFF,139.38,0.0021,780.21
202,9,AAFFFSFZFFFZFZFZFFFAAFFZFFF,140.65,0.0014,783.17
203,9,AAFFFZFFZFFZFAAFFZFFFZFZFFZF,141.92,0.0009,819.41
204,9,AAFFFZFFAAFZFFZFFFZFZFZFZFFF,138.98,0.0014,825.39
205,9,AAFFFZFFZFFAAFFZFFZFFFSFFZF,138.17,0.001,773.47
206,9,FFFSZFFZFFFZFZFZFZFFFZFZFFZ,142.35,0.0011,872.27
207,9,AAFFZFFFZFZFFAAFZFFFZFFZFZFF,138.48,0.0013,824.55
208,9,AAFFZFFFSFZFFFZFZFZFZFFFZFF,141.19,0.0005,822.39
209,9,AAFFFSZFFFZFFZFZFFZFZFFZFFF,139.71,0.0006,820.39
210,9,AAFFFZFAAFFFZFFZFZFFFSFZFFF,139.63,0.0008,779.31
211,9,AAFFFZFFZFFZFZFZFZFFFZFFZFZF,142.71,0.0012,868.15
212,9,AAFFFZFFZFFACAFFFZFFZFFZFZFF,139.34,0.0009,785.06
213,9,AAFFFSFZFFFZFZFFZFZFZFFFZFF,141.92,0.0008,822.22
214,9,FFFSZFFZFFFZFZFZFFZFZFFFZFZ,141.38,0.0006,870.34
215,9,AAFFFSFZFFFAAFFFZFZFZFFZFFF,139.44,0.0009,781.40
216,9,AAFFFZFFZFFAAFFZFFZFFZFFFSF,139.63,0.0003,765.09
217,9,AAFFFZFFZFFZFSFFZFFZFFZFFZF,141.59,0.0003,809.17
218,9,AAFFZFFZFFZFFFSFZFZFFZFFFZF,138.98,0.0006,809.76
219,9,ACAFFZFFFZFZFFZFZFFZFZFFFZFF,140.5,0.0004,835.07
220,10,AAFFFZFZFFFAAFFZFZFFFZFZFF,142.47,0.0149,752.41
221,10,AAFFFZFFZFAAFFFZFFZFZFFZFF,144.22,0.0231,738.45
222,10,AAFFFZFFZFZFZFFFZFZFZFFFZF,144.89,0.0281,794.47
223,10,AAFFFZFZFFFAAFFZFFZFZFFFZF,140.02,0.0364,747.82
224,10,AAFFFZFZFFZFFZFZFFFSFFZFF,141.61,0.0337,739.40
225,10,AAFFFAAFFFAAFFFZFZFFZFZFFF,141.11,0.0322,711.43
226,10,AAFFFAAFFFZFFAAFFZFFZFFZFF,138.67,0.0337,694.06
227,10,AAFFFZFZFFFSFFZFZFFZFFZFF,143.94,0.0288,739.32
228,10,AAFFFZFFZFZFZFFFAAFFFZFZFF,140.65,0.0324,750.37
229,10,FFZFFZFFZFZFFZFFZFFZFZ,136.77,0.1198,655.46
230,10,AAFFFZFZFZFFFAAFFFZFZFZFFF,145.84,0.013,757.31
231,10,AAFFFAAFFFZFZFFZFFAAFFFZFF,147.97,0.049,703.11
232,10,AAFFZFFFZFZFZFFFACAFFFZFFZFFZF,146.86,0.0003,875.33
233,10,AAFFFZFFZFZFZFFZFFFAAFFZFF,144.34,0.012,741.26
234,10,AAFFFSFFZFFZFZFFZFFZFZFFF,145.84,0.0298,738.28
235,10,AAFFFZFFAAFZFFFZFFZFSFFZFFZFF,147.01,0.0001,850.40
236,10,AAFFFZFFAAFFFZFZFZFFFZFZFF,147.03,0.0357,751.72
237,10,AAFFFAAFFFZFFAAFFFAAFZFFFZFFZF,149.18,0.0016,820.78
238,10,AAFFZFFFZFZFZFZFFFZFZFFZFF,142.35,0.0209,789.63
239,10,AAFFFZFZFFZFFFSFZFFZFFZFF,147.03,0.0158,728.62
240,10,AAFFFZFZFFZFFFASFZFZFFFZFZFF,147.82,0.0002,851.11
241,10,AAFFFZFZFFZFFZFFSFFZFFZFF,142.07,0.0186,728.55
242,10,AAFFFZFFZFZFFFSFFSFFZFFZFFZF,147.36,0.0003,854.20
243,10,AAFFFAAFFFZFZFFFACAFFFZFZFFFZF,149.97,0.0013,847.89
244,10,FFFSFZFZFFFZFZFFZFZFFZFFZ,145.3,0.0091,779.37
245,10,AAFFFAAFFFZFZFZFFFZFZFZFFF,143.12,0.023,759.08
246,10,FFFSFFZFFZFZFFZFZFFFZFZFZ,142.47,0.0233,787.38
247,10,AAFFFZFFAAFFFZFZFFZFZFFFZF,140.34,0.0396,747.76
248,10,AAFFFAAFFFZFZFFFAAFZFZFFFZFFZF,148.59,0.0013,867.88
249,10,AAFZFFFZFFZFZFFZFZFZFFZFFFZFZF,149.45,0.0002,950.00
250,10,FFFSFZFFZFZFFFZFZFZFFZFFZ,144.89,0.0116,780.60
251,10,AAFFFSFZFFFZFZFZFFFAAFZFFFZFF,150.11,0.0002,865.08
252,10,ACAFFFZFFZFZFFZFFZFZFFZFFF,142.56,0.0103,748.76
253,10,AAFFFZFAAFFFZFFZFZFFZFZFFF,143.68,0.0324,746.79
254,10,FFFSFZFFFZFZFZFFZFFZFFZFZ,145.3,0.0061,778.53
255,10,AAFFFZFZFFZFFZFFAAFFZFFFZF,139.63,0.0259,739.23
256,10,AAFFFZFFZFFAAFFZFFZFFZFFZF,141.29,0.0114,729.34
257,10,AAFFFACAFFFZFZFFFZFZFZFZFFZFFF,150.87,0.0005,891.39
258,10,AAFFZFFZFFZFFZFZFZFFZFFFZF,145.3,0.0146,776.39
259,10,AAFFFZFFSFFZFZFFFZFAAFFZFFFZF,147.01,0.0004,862.46
260,10,AAFFFAAFFFAAFFFZFFAAFZFFZFFFZF,146.19,0.0013,820.54
261,10,AAFFZFFFZFZFZFFZFZFFFZFZFF,141.51,0.014,790.34
262,10,AAFFAAFFFZFFZFZFFZFZFFZFFF,147.97,0.0082,741.37
263,10,AAFFFZFFAAFZFFFZFZFFFACAFFFZFF,148.9,0.0016,837.38
264,10,AAFFFZFFAAFFZFFFAAFFZFFZFF,142.78,0.0188,694.82
265,10,ACAFFFZFFZFFSFFZFFZFZFZFFFZFF,148.32,0.0006,864.25
266,10,AAFFAAFFFAAFFFZFFZFAAFFZFFZFFF,147.64,0.0006,814.81
267,10,AAFFFZFFSFFZFFZFZFFZFFZFF,142.07,0.0129,728.78
268,10,AAFFZFFFZFZFZFFZFFZFZFFFZF,143.52,0.0167,785.84
269,10,AAFFFZFZFFZFFFASFZFFZFZFFFZF,149.43,0.0003,848.48
270,10,AAFFFAAFFFZFFZFAAFFZFFFAAFFFZF,147.69,0.0009,820.96
271,10,AAFFZFFFZFAAFFZFFFZFAAFFZFFFZF,147.39,0.0004,858.93
272,10,AAFFFZFAAFFFZFZFFZFFFACAFFZFFF,148.59,0.0015,837.53
273,10,AAFFFSFFZFZFFFZFZFZFZFFZFFFZF,150.54,0.0004,912.33
274,10,FFFSFFZFFZFZFZFFFZFZFFZFZ,147.97,0.025,787.39
275,10,AAFFFZFFAAFFZFFFZFAAFZFFFZFFZF,148.59,0.0009,863.34
276,10,AAFFFZFAAFFZFFFZFZFFAAFZFFFZFF,148.85,0.0006,862.05
277,10,FFFZFFZFZFZFZFZFFFZFFZFZFZFZFZ,151.79,0.0001,1007.40
278,10,AAFFFAAFFFZFFAAFFFSFZFFFZFZFF,148.9,0.0003,821.43
279,10,FFFSZFFFZFZFFZFFZFZFFZFFZ,147.97,0.0091,778.54
280,10,ACAFFFZFFZFFZFZFZFFFSFFZFFZFF,149.43,0.0002,865.69
281,10,AAFFFSFFAAFFFZFFZFAAFFFZFZFFF,148.59,0.0008,825.70
282,10,AAFFFZFFZFFAAFFZFFFSFZFFFZFZF,148.19,0.0003,856.22
283,10,AAFFFZFFZFZFFZFFFSZFFZFFFZFZF,149.16,0.0003,903.36
284,10,AAFFFSFFZFFAAFFFZFFAAFZFFFZFF,147.64,0.0012,813.94
285,10,FFFSFZFFZFFZFFZFZFZFFFZFZ,140.5,0.0081,778.23
286,10,AAFFFAAFFZFFFAAFFFSFFAAFFFZFF,147.14,0.0008,783.16
287,10,AAFFFZFAAFFFZFFZFFAAFZFFZFFFZF,146.74,0.0008,856.58
288,10,AAFFFZFZFZFFZFFFZFAAFZFFZFFFZF,150.43,0.0002,902.18
289,10,AAFFFZFFZFZFFAAFFFZFFZFZFF,141.7,0.0101,742.64
290,10,AAFFFZFFAAFFZFFZFFFSFFSFFZFF,147.41,0.0007,811.50
291,10,AAFFFZFFZFZFFFACAFFFZFZFFFZFZF,149.31,0.0007,885.01
292,10,AAFFFAAFFZFFFZFAAFFFAAFFZFFFZF,148.04,0.0006,821.94
293,10,AAFFFZFFAAFFFZFFACAFFFZFFZFFZF,149.39,0.0006,831.02
294,10,AAFFFSFFAAFFFZFFZFZFZFZFFFZFF,149.7,0.0004,868.05
295,10,ACAFFFZFFZFFZFZFFZFZFZFFFZFFZF,149.45,0.0001,916.34
296,10,AAFFFSFFZFFAAFFZFFFZFAAFFZFFF,147.01,0.0007,819.82
297,10,AAFFFZFZFZFFFZFFACAFFFZFZFFFZF,148.72,0.001,885.77
298,10,AAFFFZFZFFFZFZFSFFZFFZFFZFFZF,150.43,0.0004,895.91
299,10,AAFFFZFZFFFZFAAFFZFFZFFZFFFSF,148.19,0.0002,850.42
300,10,ACAFFFZFFZFFZFZFFSFFZFFZFFZFF,148.72,0.0002,855.55
301,10,AAFFFZFFZFFAAFZFFFZFZFFFSFFZF,147.64,0.0002,863.59
302,10,AAFFFAAFFFSFFZFZFFFZFAAFFZFFF,146.03,0.0008,821.60
303,10,AAFFFAAFFFZFFAAFZFFFZFFSFFZFF,146.86,0.0002,812.78
304,10,AAFFFZFAAFFFZFZFFFZFSFFZFZFFF,147.64,0.0004,873.49
305,10,AAFFFZFZFFZFFZFFASFFZFZFFFZF,147.93,0.0005,848.45
306,10,AAFFFAAFFFSFFZFFZFFAAFZFFFZFF,146.99,0.0007,819.21
307,10,AAFFFZFZFFFSFZFFFZFAAFFZFFFZF,146.06,0.0003,862.42
308,10,AAFFFSFFZFZFFFZFZFAAFFFZFFZFF,150.11,0.0006,865.89
309,10,AAFFFAAFFFAAFFFZFFACAFFFZFFZFF,149.39,0.0014,791.97
310,10,AAFFFAAFFFZFZFFFSFFAAFFZFFFZF,147.09,0.001,827.61
311,10,AAFFFAAFFFZFZFFZFFASFFZFFZFF,149.34,0.0003,802.53
312,10,AAFFFSZFFFZFFZFZFFAAFFFZFZFFF,149.89,0.0005,867.12
313,10,AAFFFZFZFFZFFZFFFSZFZFFFZFFZF,150.11,0.0002,902.70
314,10,AAFFFAAFFFZFFZFAAFFFAAFFFZFFZF,148.19,0.0007,819.46
