pore_number,N,Canonical_STRONGs,radius,Canonical_STRONG_radius,barrier_CO2,barrier_N2,barrier_O2
100248,19,AAFAAFFFZFFACAFFFZFZFFFAAFFFACCAFFFAAFFFAAFFFZFF,1.97,198AAFAAFFFZFFACAFFFZFZFFFAAFFFACCAFFFAAFFFAAFFFZFF,13.80,12.89,7.99
100291,19,AAFFFACCAFFFZFFAAFZFFZFFFZFZFAAFZFFFACAFFFZFZFFF,1.97,198AAFFFACCAFFFZFFAAFZFFZFFFZFZFAAFZFFFACAFFFZFZFFF,17.68,15.98,10.91
100292,19,AAFFFACCAFFFZFFACAFFFZFFZFFZFAAFZFFFACAFFFZFZFFF,1.97,198AAFFFACCAFFFZFFACAFFFZFFZFFZFAAFZFFFACAFFFZFZFFF,17.98,16.29,11.03
100304,19,AAFAAFFFZFZFFFAAFFFACCAFFFZFZFFFZFAAFZFZFFFZFFZF,1.97,198AAFAAFFFZFZFFFAAFFFACCAFFFZFZFFFZFAAFZFZFFFZFFZF,16.15,14.47,9.65
100306,19,AAFAAFFFZFZFFFAAFFFACCAFFFZFZFFFZFACAFFFZFZFFFZF,1.97,198AAFAAFFFZFZFFFAAFFFACCAFFFZFZFFFZFACAFFFZFZFFFZF,17.11,15.37,10.38
100309,19,AAFAAFFAAFFFZFFZFFACAFFZFFZFFFACCAFFFAAFFFZFZFFF,1.97,198AAFAAFFAAFFFZFFZFFACAFFZFFZFFFACCAFFFAAFFFZFZFFF,17.94,16.06,10.96
100318,19,AAFFFACCAFFFZFZFZFZFFFZFFZFACAFFFZFZFAAFFFZFZFFF,1.97,198AAFFFACCAFFFZFZFZFZFFFZFFZFACAFFFZFZFAAFFFZFZFFF,15.28,13.35,8.68
100336,19,AAFFFACCAFFFZFAAFFZFFFAAFFFZFAAFZFFZFAAFFFZFZFFF,1.97,198AAFFFACCAFFFZFAAFFZFFFAAFFFZFAAFZFFZFAAFFFZFZFFF,14.19,13.06,8.41
100342,19,AAFFFACAFZFFZFFFZFZFAAFZFFFZFZFFFACCAFFFAAFFFZFF,1.97,198AAFFFACAFZFFZFFFZFZFAAFZFFFZFZFFFACCAFFFAAFFFZFF,16.27,14.62,9.97
100355,19,AAFFFAAFFZFFFAAFFFACCAFFFZFZFZFFZFFZFFFACCAFFFZF,1.97,198AAFFFAAFFZFFFAAFFFACCAFFFZFZFZFFZFFZFFFACCAFFFZF,17.62,15.71,10.91
100356,19,AAFFFAAFFZFFFAAFFFACCAFFFZFZFZFZFFFZFFZFACAFFFZF,1.97,198AAFFFAAFFZFFFAAFFFACCAFFFZFZFZFZFFFZFFZFACAFFFZF,15.68,14.09,9.57
100364,19,AAFAAFFAAFFFAAFFZFFFAAFFFACCAFFFZFFAAFZFFZFFZFFF,1.97,198AAFAAFFAAFFFAAFFZFFFAAFFFACCAFFFZFFAAFZFFZFFZFFF,17.07,15.04,10.33
100375,19,AAFFAAFFFZFFZFFAAFZFFFACCAFFFAAFFFZFFAAFFFAAFFZF,1.97,198AAFFAAFFFZFFZFFAAFZFFFACCAFFFAAFFFZFFAAFFFAAFFZF,17.31,15.12,10.51
100378,19,AAFFAAFFFZFZFFFZFACAFZFFZFFFAAFFFACCAFFFZFFZFFZF,1.61,162AAFFAAFFFZFZFFFZFACAFZFFZFFFAAFFFACCAFFFZFFZFFZF,21.77,19.81,14.75
