pore_number,N,Canonical_STRONGs,radius,Canonical_STRONG_radius,barrier_CO2,barrier_N2,barrier_O2
18738,16,AAFFFZFZFFAAFFZFFZFFZFFACAFFZFFFZF,2.07,208AAFFFZFZFFAAFFZFFZFFZFFACAFFZFFFZF,6.06,4.87,2.39
18739,16,AAFFZFFZFFZFFACAFFZFFFZFZFZFZFFFZF,1.97,198AAFFZFFZFFZFFACAFFZFFFZFZFZFZFFFZF,13.40,13.08,8.84
18740,16,AAFFZFFZFZFZFFFZFFACAFFZFFZFZFFFZF,1.97,198AAFFZFFZFZFZFFFZFFACAFFZFFZFZFFFZF,13.14,12.87,8.63
18741,16,AAFFZFFZFZFZFFFZFFACAFFZFZFFFZFZFF,1.97,198AAFFZFFZFZFZFFFZFFACAFFZFZFFFZFZFF,12.34,12.07,7.96
18742,16,AAFFZFFZFZFFFZFACAFFZFFFZFZFZFFZFF,1.97,198AAFFZFFZFZFFFZFACAFFZFFFZFZFZFFZFF,12.90,12.74,8.47
18743,16,AAFFFACAFFZFFZFFZFFAAFFZFFAAFFZFFF,1.97,198AAFFFACAFFZFFZFFZFFAAFFZFFAAFFZFFF,18.12,17.19,12.24
18744,16,AAFFFZFZFFFACAFFZFFZFFZFFAAFZFFFZF,1.97,198AAFFFZFZFFFACAFFZFFZFFZFFAAFZFFFZF,13.02,11.39,7.91
18745,16,AAFFFZFZFFFACAFFZFFZFZFFFZFAAFFZFF,1.97,198AAFFFZFZFFFACAFFZFFZFZFFFZFAAFFZFF,13.57,11.85,8.23
18746,16,AAFFFZFZFFFACAFFZFZFFFZFZFFAAFFZFF,1.97,198AAFFFZFZFFFACAFFZFZFFFZFZFFAAFFZFF,13.93,12.16,8.51
18747,16,AAFFFZFZFFFACAFZFFFZFZFFZFFAAFFZFF,1.97,198AAFFFZFZFFFACAFZFFFZFZFFZFFAAFFZFF,15.42,13.14,9.59
18748,16,AAFFAAFFFZFFAAFFZFFFACAFFZFFZFFZFF,2.07,208AAFFAAFFFZFFAAFFZFFFACAFFZFFZFFZFF,5.33,4.20,2.08
18749,16,AAFFFAAFFFZFAAFFZFFZFFZFFACAFFFZFF,2.25,225AAFFFAAFFFZFAAFFZFFZFFZFFACAFFFZFF,3.65,2.22,2.25
18750,16,AAFFFZFZFFAAFZFFFZFZFFZFFACAFFFZFF,2.07,208AAFFFZFZFFAAFZFFFZFZFFZFFACAFFFZFF,5.45,4.13,2.16
18751,16,AAFFFZFZFFAAFFZFZFFFZFZFFACAFFFZFF,2.07,208AAFFFZFZFFAAFFZFZFFFZFZFFACAFFFZFF,5.38,4.06,2.15
18752,16,AAFFFZFZFFAAFFZFFZFZFFFZFACAFFFZFF,2.07,208AAFFFZFZFFAAFFZFFZFZFFFZFACAFFFZFF,6.11,4.80,2.35
18753,16,AAFFFZFFZFAAFFZFFZFFZFFACAFFFZFFZF,1.97,198AAFFFZFFZFAAFFZFFZFFZFFACAFFFZFFZF,16.87,16.14,11.41
18755,16,AAFZFFFZFZFFZFFACAFFFZFFZFZFZFFFZF,1.97,198AAFZFFFZFZFFZFFACAFFFZFFZFZFZFFFZF,15.57,15.09,10.48
18756,16,AAFFZFZFFFZFZFFACAFFFZFFZFZFZFFFZF,1.97,198AAFFZFZFFFZFZFFACAFFFZFFZFZFZFFFZF,15.05,14.60,10.10
18757,16,AAFFZFFZFZFFFZFACAFFFZFFZFZFZFFFZF,1.97,198AAFFZFFZFZFFFZFACAFFFZFFZFZFZFFFZF,15.59,15.24,10.53
18758,16,ACAFFFZFFZFZFFZFFACAFFFZFFZFZFFZFF,1.97,198ACAFFFZFFZFZFFZFFACAFFFZFFZFZFFZFF,23.89,21.95,16.58
18760,16,AAFFFZFAAFFZFFZFZFFZFFFACAFFZFZFFF,2.07,208AAFFFZFAAFFZFFZFZFFZFFFACAFFZFZFFF,6.78,5.61,2.61
18761,16,AAFFZFFZFZFFZFFFACAFZFFFZFZFZFFFZF,1.97,198AAFFZFFZFZFFZFFFACAFZFFFZFZFZFFFZF,15.44,14.85,10.35
18762,16,AAFFAAFFFZFFZFZFFACAFFFZFFZFZFFZFF,1.97,198AAFFAAFFFZFFZFZFFACAFFFZFFZFZFFZFF,17.91,16.81,12.06
18763,16,AAFFACAFFFZFFZFZFFZFFAAFFZFZFFZFFF,1.97,198AAFFACAFFFZFFZFZFFZFFAAFFZFZFFZFFF,17.57,16.82,11.88
18764,16,AAFFFZFACAFFFZFFZFZFFZFFAAFFZFZFFF,2.07,208AAFFFZFACAFFFZFFZFZFFZFFAAFFZFZFFF,10.84,9.38,5.58
18765,16,AAFFFZFFZFACAFFFZFFZFZFFZFFAAFFZFF,1.97,198AAFFFZFFZFACAFFFZFFZFZFFZFFAAFFZFF,16.39,15.55,11.02
18769,16,AAFFZFFFZFZFAAFFZFFZFFZFFAAFZFFFZF,1.97,198AAFFZFFFZFZFAAFFZFFZFFZFFAAFZFFFZF,11.94,11.75,7.66
18771,16,AAFFZFFAAFFZFFFZFZFAAFFZFZFFFZFZFF,1.97,198AAFFZFFAAFFZFFFZFZFAAFFZFZFFFZFZFF,10.46,10.27,6.47
18773,16,AAFFZFFZFFZFFAAFZFFZFFFACAFFFZFFZF,1.97,198AAFFZFFZFFZFFAAFZFFZFFFACAFFFZFFZF,10.24,10.15,6.34
18774,16,AAFFFZFFZFAAFFZFFZFZFFFZFAAFZFFFZF,1.97,198AAFFFZFFZFAAFFZFFZFZFFFZFAAFZFFFZF,9.73,9.67,5.98
18775,16,AAFFFZFFZFAAFFZFZFFFZFZFFAAFZFFFZF,1.97,198AAFFFZFFZFAAFFZFZFFFZFZFFAAFZFFFZF,9.02,8.90,5.37
18776,16,AAFFFZFFZFAAFZFFFZFZFFZFFAAFZFFFZF,1.97,198AAFFFZFFZFAAFZFFFZFZFFZFFAAFZFFFZF,9.80,9.71,6.02
18777,16,AAFFFZFFZFAAFFZFFAAFFFZFFZFAAFFZFF,1.97,198AAFFFZFFZFAAFFZFFAAFFFZFFZFAAFFZFF,9.61,9.50,5.83
18778,16,AAFFFZFAAFFZFFAAFFFZFFZFAAFFZFZFFF,2.07,208AAFFFZFAAFFZFFAAFFFZFFZFAAFFZFZFFF,5.44,4.05,2.20
18779,16,AAFFFZFFZFAAFZFFFZFZFZFFFZFAAFFZFF,1.97,198AAFFFZFFZFAAFZFFFZFZFZFFFZFAAFFZFF,9.59,9.56,5.88
18781,16,AAFFAAFFFZFFZFZFFAAFFZFFAAFFFZFFZF,1.97,198AAFFAAFFFZFFZFZFFAAFFZFFAAFFFZFFZF,10.64,10.30,6.53
18782,16,AAFFFZFAAFZFFZFFFAAFFZFFAAFFZFZFFF,2.07,208AAFFFZFAAFZFFZFFFAAFFZFFAAFFZFZFFF,5.64,4.28,2.19
18783,16,AAFFFZFFZFAAFZFFZFFFAAFFZFFAAFFZFF,1.97,198AAFFFZFFZFAAFZFFZFFFAAFFZFFAAFFZFF,9.47,9.36,5.73
18784,16,AAFFAAFFZFFFZFAAFFFZFAAFFZFFZFFZFF,2.07,208AAFFAAFFZFFFZFAAFFFZFAAFFZFFZFFZFF,5.81,4.60,2.22
18785,16,AAFFAAFFFZFFAAFFFZFAAFFZFFZFZFFFZF,2.07,208AAFFAAFFFZFFAAFFFZFAAFFZFFZFZFFFZF,5.99,4.69,2.24
18786,16,AAFFAAFFFZFFAAFFFZFAAFFZFZFFFZFZFF,2.07,208AAFFAAFFFZFFAAFFFZFAAFFZFZFFFZFZFF,5.72,4.42,2.09
18787,16,AAFFAAFFFZFFAAFFFZFAAFZFFFZFZFFZFF,2.07,208AAFFAAFFFZFFAAFFFZFAAFZFFFZFZFFZFF,6.72,5.42,2.73
18788,16,AAFFFAAFFFZFAAFFZFFZFZFFFZFAAFZFFF,2.25,225AAFFFAAFFFZFAAFFZFFZFZFFFZFAAFZFFF,3.75,2.28,2.37
18789,16,AAFFFAAFFFZFAAFFZFZFFFZFZFFAAFZFFF,2.25,225AAFFFAAFFFZFAAFFZFZFFFZFZFFAAFZFFF,3.68,2.28,2.41
18790,16,AAFFFZFAAFFZFZFFFAAFFFZFAAFFZFZFFF,2.07,208AAFFFZFAAFFZFZFFFAAFFFZFAAFFZFZFFF,5.15,3.68,2.22
18791,16,AAFFFZFAAFZFFFZFZFZFFFZFAAFFZFZFFF,2.07,208AAFFFZFAAFZFFFZFZFZFFFZFAAFFZFZFFF,6.01,4.64,2.18
18792,16,AAFFAAFFFZFFZFZFFAAFZFFFAAFFFZFZFF,2.07,208AAFFAAFFFZFFZFZFFAAFZFFFAAFFFZFZFF,5.54,4.15,2.22
18793,16,AAFFAAFFFZFFZFZFFAAFFZFZFFFAAFFFZF,2.07,208AAFFAAFFFZFFZFZFFAAFFZFZFFFAAFFFZF,6.35,5.00,2.38
18794,16,AAFFFZFAAFZFFFAAFFFZFZFFAAFFZFZFFF,2.07,208AAFFFZFAAFZFFFAAFFFZFZFFAAFFZFZFFF,5.95,4.58,2.16
18797,16,AAFFAAFFZFFFZFZFZFFAAFZFFFZFZFFZFF,1.97,198AAFFAAFFZFFFZFZFZFFAAFZFFFZFZFFZFF,11.18,10.99,6.98
18798,16,AAFFAAFFFZFZFFFAAFFAAFFZFFZFZFFFZF,1.97,198AAFFAAFFFZFZFFFAAFFAAFFZFFZFZFFFZF,11.38,11.04,7.05
18799,16,AAFFAAFFZFFFZFZFZFFAAFFZFFZFZFFFZF,1.97,198AAFFAAFFZFFFZFZFZFFAAFFZFFZFZFFFZF,11.01,10.78,6.85
18800,16,AAFFAAFFZFFZFFZFFAAFFZFZFZFFZFFFZF,1.97,198AAFFAAFFZFFZFFZFFAAFFZFZFZFFZFFFZF,13.61,13.07,8.76
18801,16,AAFFAAFFZFFZFFFAAFZFFAAFFZFFZFFZFF,1.97,198AAFFAAFFZFFZFFFAAFZFFAAFFZFFZFFZFF,13.27,12.77,8.48
18802,16,AAFFAAFFFAAFFFZFFAAFFAAFFZFFZFFZFF,1.97,198AAFFAAFFFAAFFFZFFAAFFAAFFZFFZFFZFF,12.49,12.03,7.86
18803,16,AAFFAAFFZFFFZFZFZFFAAFFZFZFFFZFZFF,1.97,198AAFFAAFFZFFFZFZFZFFAAFFZFZFFFZFZFF,10.21,9.94,6.19
18805,16,AAFFAAFFFZFFZFZFFAAFFAAFFFZFFZFZFF,1.97,198AAFFAAFFFZFFZFZFFAAFFAAFFFZFFZFZFF,12.17,11.59,7.61
18807,16,AAFFZFFFZFZFZFZFFZFFZFZFFZFFZF,2.76,276AAFFZFFFZFZFZFZFFZFFZFZFFZFFZF,2.95,2.65,2.63
18808,16,AAFFFZFZFFFAAFZFFZFFZFZFFZFFZF,2.76,276AAFFFZFZFFFAAFZFFZFFZFZFFZFFZF,3.04,2.62,2.66
18809,16,AAFFFAAFFZFFFAAFZFFZFFZFZFFZFF,2.76,276AAFFFAAFFZFFFAAFZFFZFFZFZFFZFF,2.81,2.53,2.51
18810,16,AAFFFZFFZFAAFFFZFZFFZFZFFZFFZF,2.76,276AAFFFZFFZFAAFFFZFZFFZFZFFZFFZF,2.77,2.55,2.49
18811,16,AAFFFZFFZFZFZFZFFFZFZFZFFZFFZF,2.76,276AAFFFZFFZFZFZFZFFFZFZFZFFZFFZF,2.76,2.51,2.47
18812,16,AAFFFZFFZFZFZFFZFZFFFAAFFZFFZF,2.76,276AAFFFZFFZFZFZFFZFZFFFAAFFZFFZF,2.71,2.54,2.45
18813,16,AAFFFZFFZFZFZFFZFFAAFFFZFZFFZF,2.76,276AAFFFZFFZFZFZFFZFFAAFFFZFZFFZF,2.73,2.52,2.46
18814,16,AAFFFZFFZFZFZFFZFFZFZFZFFFZFZF,2.76,276AAFFFZFFZFZFZFFZFFZFZFZFFFZFZF,2.79,2.53,2.50
18815,16,ACAFFFZFFZFZFZFFZFFZFZFFZFZFFF,2.76,276ACAFFFZFFZFZFZFFZFFZFZFFZFZFFF,2.81,2.54,2.51
18816,16,AAFFFAAFFFZFZFZFFZFFZFZFZFFFZF,2.76,276AAFFFAAFFFZFZFZFFZFFZFZFZFFFZF,2.52,2.41,2.31
18817,16,AAFFFAAFFFZFZFZFFZFFAAFFFZFZFF,2.76,276AAFFFAAFFFZFZFZFFZFFAAFFFZFZFF,2.45,2.40,2.26
18818,16,AAFFFAAFFFZFZFZFFZFZFFFAAFFZFF,2.76,276AAFFFAAFFFZFZFZFFZFZFFFAAFFZFF,2.43,2.39,2.25
18819,16,AAFFFAAFFFZFZFZFZFFFZFZFZFFZFF,2.76,276AAFFFAAFFFZFZFZFZFFFZFZFZFFZFF,2.47,2.40,2.28
18820,16,AAFFFAAFFFZFAAFFFZFZFFZFZFFZFF,2.76,276AAFFFAAFFFZFAAFFFZFZFFZFZFFZFF,2.49,2.41,2.29
18821,16,AAFFFAAFFFAAFFFAAFFZFFZFZFFZFF,3.03,303AAFFFAAFFFAAFFFAAFFZFFZFZFFZFF,2.66,2.58,2.48
18822,16,AAFFFZFFAAFZFFFZFZFZFFZFFZFZFF,2.76,276AAFFFZFFAAFZFFFZFZFZFFZFFZFZFF,2.65,2.51,2.42
18823,16,AAFFFZFZFZFFFAAFFZFFZFZFZFFFZF,2.76,277AAFFFZFZFZFFFAAFFZFFZFZFZFFFZF,2.41,2.41,2.25
18824,16,AAFFFZFZFFAAFFFZFZFFZFZFZFFFZF,2.76,276AAFFFZFZFFAAFFFZFZFFZFZFZFFFZF,2.42,2.39,2.25
18825,16,AAFFFZFZFFZFZFZFFFZFZFZFZFFFZF,2.76,276AAFFFZFZFFZFZFZFFFZFZFZFZFFFZF,2.44,2.39,2.26
18826,16,AAFFFZFZFFZFZFFZFZFFFAAFZFFFZF,2.76,276AAFFFZFZFFZFZFFZFZFFFAAFZFFFZF,2.46,2.40,2.27
18827,16,FFFZFZFZFZFFFZFZFZFZFFFZFZFZFZ,2.76,276FFFZFZFZFZFFFZFZFZFZFFFZFZFZFZ,2.45,2.38,2.26
18828,16,AAFFFZFFAAFFZFFZFZFZFFFZFZFZFF,2.76,276AAFFFZFFAAFFZFFZFZFZFFFZFZFZFF,2.60,2.50,2.39
18829,16,AAFFZFFFZFAAFFZFFZFZFFZFFZFZFF,2.76,276AAFFZFFFZFAAFFZFFZFZFFZFFZFZFF,2.86,2.62,2.58
18830,16,AAFFFZFFAAFFZFZFFFAAFFZFFZFZFF,2.76,276AAFFFZFFAAFFZFZFFFAAFFZFFZFZFF,2.58,2.50,2.38
18831,16,AAFFFZFFAAFFZFFAAFFFZFZFFZFZFF,2.76,276AAFFFZFFAAFFZFFAAFFFZFZFFZFZFF,2.57,2.50,2.37
18832,16,AAFFAAFFFZFFAAFFZFFZFZFFZFZFFF,2.76,276AAFFAAFFFZFFAAFFZFFZFZFFZFZFFF,2.60,2.49,2.38
18833,16,AAFFFZFAAFFFZFFAAFFZFFZFZFFZFF,2.76,277AAFFFZFAAFFFZFFAAFFZFFZFZFFZFF,2.54,2.51,2.36
18834,16,AAFFFZFZFFAAFFFZFZFFAAFFFZFZFF,2.76,276AAFFFZFZFFAAFFFZFZFFAAFFFZFZFF,2.38,2.38,2.22
18835,16,AAFFFZFZFFAAFFFZFZFZFFFAAFFZFF,2.76,277AAFFFZFZFFAAFFFZFZFZFFFAAFFZFF,2.39,2.40,2.23
18836,16,AAFFFZFFACAFFZFFZFFZFFZFAAFFZFFZFF,2.07,208AAFFFZFFACAFFZFFZFFZFFZFAAFFZFFZFF,6.84,5.90,2.93
18837,16,AAFFFACAFFZFFZFFZFFZFAAFFZFFZFZFFF,2.25,225AAFFFACAFFZFFZFFZFFZFAAFFZFFZFZFFF,4.15,2.34,2.43
18838,16,AAFFZFZFFFZFZFZFFFACAFFZFFZFFZFFZF,2.07,208AAFFZFZFFFZFZFZFFFACAFFZFFZFFZFFZF,6.15,4.93,2.42
18839,16,AAFZFFFZFZFFZFZFFFACAFFZFFZFFZFFZF,2.07,208AAFZFFFZFZFFZFZFFFACAFFZFFZFFZFFZF,6.46,5.22,2.61
18840,16,ACAFFFZFZFFZFFZFFACAFFFZFZFFZFFZFF,2.07,208ACAFFFZFZFFZFFZFFACAFFFZFZFFZFFZFF,9.91,8.72,5.06
18841,16,AAFFZFFZFFZFZFFFACAFFZFFZFZFFFZFZF,2.07,208AAFFZFFZFFZFZFFFACAFFZFFZFZFFFZFZF,8.07,6.86,3.68
18842,16,AAFFZFFZFFZFZFFFACAFFZFZFFFZFZFFZF,2.07,208AAFFZFFZFFZFZFFFACAFFZFZFFFZFZFFZF,7.75,6.57,3.44
18846,16,AAFFFZFZFAAFFZFFZFFZFFZFAAFFZFZFFF,2.07,208AAFFFZFZFAAFFZFFZFFZFFZFAAFFZFZFFF,5.79,4.38,2.28
18847,16,AAFFZFFZFFZFFZFAAFZFFFZFZFZFFFZFZF,1.76,176AAFFZFFZFFZFFZFAAFZFFFZFZFZFFFZFZF,10.00,8.64,5.18
18853,16,AAFFFZFAAFZFFZFFZFFZFFAAFZFFZFZFFF,2.07,208AAFFFZFAAFZFFZFFZFFZFFAAFZFFZFZFFF,6.11,4.69,2.25
18854,16,AAFFZFZFFFZFZFFZFAAFFZFZFFFZFZFFZF,1.76,176AAFFZFZFFFZFZFFZFAAFFZFZFFFZFZFFZF,13.53,12.14,7.74
18857,16,AAFFZFFZFFZFFZFACAFFFZFFZFZFFZFFZF,1.76,176AAFFZFFZFFZFFZFACAFFFZFFZFZFFZFFZF,15.15,12.61,8.92
18858,16,AAFZFFFZFZFFZFFZFAAFZFFFZFZFFZFFZF,1.76,176AAFZFFFZFZFFZFFZFAAFZFFFZFZFFZFFZF,14.75,13.09,8.56
18859,16,ACAFFFZFFZFZFFZFZFFZFZFFZFFZFF,2.40,240ACAFFFZFFZFZFFZFZFFZFZFFZFFZFF,3.49,2.18,1.91
18860,16,AAFFFZFFZFAAFFZFFZFFZFZFFZFZFF,2.40,240AAFFFZFFZFAAFFZFFZFFZFZFFZFZFF,3.00,1.96,2.12
18861,16,AAFFFZFAAFFZFFZFFZFZFFZFZFZFFF,2.40,240AAFFFZFAAFFZFFZFFZFZFFZFZFZFFF,2.93,1.91,2.10
18862,16,AAFFFZFZFZFFFZFAAFFZFFZFFZFZFF,2.40,240AAFFFZFZFZFFFZFAAFFZFFZFFZFZFF,2.89,1.87,1.97
18863,16,AAFFFZFZFZFFZFFZFFAAFZFFFZFZFF,2.44,245AAFFFZFZFZFFZFFZFFAAFZFFFZFZFF,2.88,2.22,2.43
18864,16,AAFFFZFZFZFFZFZFFFZFAAFFZFFZFF,2.44,245AAFFFZFZFZFFZFZFFFZFAAFFZFFZFF,2.95,2.26,2.47
18865,16,AAFFFZFZFFZFFAAFZFFFZFZFFZFZFF,2.40,240AAFFFZFZFFZFFAAFZFFFZFZFFZFZFF,2.87,1.86,1.96
18866,16,AAFFZFZFFFZFZFZFFZFZFFZFZFFFZF,2.40,240AAFFZFZFFFZFZFZFFZFZFFZFZFFFZF,2.90,1.90,2.13
18867,16,AAFZFFFZFZFFZFZFFZFZFFZFZFFFZF,2.40,240AAFZFFFZFZFFZFZFFZFZFFZFZFFFZF,2.92,1.90,2.07
18868,16,AAFFAAFFFZFFZFZFZFFZFZFFZFFZFF,2.40,240AAFFAAFFFZFFZFZFZFFZFZFFZFFZFF,3.05,1.96,2.03
18869,16,AAFFFZFFZFZFFAAFFZFFZFFZFZFFZF,2.40,240AAFFFZFFZFZFFAAFFZFFZFFZFZFFZF,3.12,2.00,2.10
18870,16,AAFFFAAFFFZFZFFAAFFZFFZFFZFZFF,2.40,240AAFFFAAFFFZFZFFAAFFZFFZFFZFZFF,2.91,1.89,2.04
18871,16,AAFFFZFZFZFFZFFZFFAAFFZFZFFFZF,2.44,245AAFFFZFZFZFFZFFZFFAAFFZFZFFFZF,2.87,2.26,2.44
18872,16,AAFFFZFZFZFZFFFZFZFFAAFFZFFZFF,2.44,245AAFFFZFZFZFZFFFZFZFFAAFFZFFZFF,2.94,2.27,2.46
18873,16,AAFFFZFZFFZFFAAFFZFZFFFZFZFZFF,2.40,240AAFFFZFZFFZFFAAFFZFZFFFZFZFZFF,2.86,1.88,2.05
18874,16,AAFFZFZFFFZFZFZFFZFZFZFFFZFZFF,2.40,240AAFFZFZFFFZFZFZFFZFZFZFFFZFZFF,2.89,1.95,2.19
18875,16,AAFFFZFFAAFFZFZFFZFFZFFAAFFZFF,2.40,240AAFFFZFFAAFFZFZFFZFFZFFAAFFZFF,2.94,1.90,1.98
18876,16,AAFFFZFAAFFFZFZFFZFFAAFFZFFZFF,2.44,245AAFFFZFAAFFFZFZFFZFFAAFFZFFZFF,2.97,2.11,2.38
18877,16,AAFFAAFFFZFZFFZFFAAFFZFFZFZFFF,2.40,240AAFFAAFFFZFZFFZFFAAFFZFFZFZFFF,2.85,1.84,1.93
18878,16,AAFFFZFFAAFFZFFZFFAAFFZFFZFFZF,2.44,245AAFFFZFFAAFFZFFZFFAAFFZFFZFFZF,2.95,2.09,2.35
18879,16,AAFFFAAFFFAAFFZFFZFFAAFFZFFZFF,3.03,303AAFFFAAFFFAAFFZFFZFFAAFFZFFZFF,2.74,2.64,2.54
18880,16,AAFFFZFFAAFZFFZFFZFFZFZFZFFZFF,2.25,225AAFFFZFFAAFZFFZFFZFFZFZFZFFZFF,3.30,2.06,2.15
18881,16,AAFFFAAFFFZFZFFZFZFZFFZFFZFFZF,2.40,240AAFFFAAFFFZFZFFZFZFZFFZFFZFFZF,3.39,2.14,2.27
18882,16,AAFFFZFZFZFFFZFZFZFZFFZFFZFFZF,2.25,225AAFFFZFZFZFFFZFZFZFZFFZFFZFFZF,3.21,2.04,2.14
18883,16,AAFFFZFZFFZFZFFFAAFZFFZFFZFFZF,2.44,245AAFFFZFZFFZFZFFFAAFZFFZFFZFFZF,3.33,2.43,2.75
18884,16,AAFFFAAFFZFFZFFZFAAFFFZFZFFZFF,2.40,240AAFFFAAFFZFFZFFZFAAFFFZFZFFZFF,2.94,1.89,1.94
18885,16,AAFFFZFZFFZFFZFAAFFFZFZFFZFFZF,2.25,225AAFFFZFZFFZFFZFAAFFFZFZFFZFFZF,3.55,2.15,2.23
18886,16,AAFFFZFZFFZFFZFZFZFZFFFZFZFFZF,2.25,225AAFFFZFZFFZFFZFZFZFZFFFZFZFFZF,3.42,2.13,2.24
18887,16,AAFFFZFZFFZFFZFZFZFFZFZFFFZFZF,2.25,225AAFFFZFZFFZFFZFZFZFFZFZFFFZFZF,3.44,2.12,2.21
18888,16,ACAFFFZFZFFZFFZFZFZFFZFFZFZFFF,2.25,225ACAFFFZFZFFZFFZFZFZFFZFFZFZFFF,3.77,2.15,2.14
18889,16,AAFFFZFFZFZFFZFZFZFFZFFZFFZFZF,2.14,215AAFFFZFFZFZFFZFZFZFFZFFZFFZFZF,5.84,4.86,2.46
18890,16,AAFFFZFFZFZFZFZFFZFFZFFZFZFZFF,2.14,215AAFFFZFFZFZFZFZFFZFFZFFZFZFZFF,4.61,3.50,1.93
18891,16,AAFFFZFZFZFZFFZFFZFFZFZFZFZFFF,2.14,215AAFFFZFZFZFZFFZFFZFFZFZFZFZFFF,4.17,2.98,1.93
18892,16,AAFFFAAFFZFFZFFZFZFZFZFFFZFZFF,2.40,240AAFFFAAFFZFFZFFZFZFZFZFFFZFZFF,2.95,1.93,2.12
18893,16,FFFZFZFFZFZFZFZFFFZFZFFZFZFZFZ,2.14,215FFFZFZFFZFZFZFZFFFZFZFFZFZFZFZ,3.65,2.40,1.87
18894,16,FFFZFZFFZFZFZFFZFZFFFZFZFZFZFZ,2.14,215FFFZFZFFZFZFZFFZFZFFFZFZFZFZFZ,3.60,2.35,1.87
18895,16,AAFFFAAFFZFFZFFZFZFZFFZFZFFFZF,2.40,240AAFFFAAFFZFFZFFZFZFZFFZFZFFFZF,2.94,1.92,2.07
18896,16,AAFFFAAFFZFFZFFAAFFFAAFFZFFZFF,3.03,303AAFFFAAFFZFFZFFAAFFFAAFFZFFZFF,2.80,2.64,2.57
18897,16,ACAFFZFFZFFZFFZFZFZFZFFZFFZFZFFFZF,1.76,176ACAFFZFFZFFZFFZFZFZFZFFZFFZFZFFFZF,17.05,14.97,10.27
18899,16,ACAFFZFFZFFZFFZFZFZFZFZFFFZFZFFZFF,1.76,176ACAFFZFFZFFZFFZFZFZFZFZFFFZFZFFZFF,15.58,13.87,9.18
18901,16,AAFFFAAFFZFFZFFZFFACAFFZFFZFFZFFZF,1.97,198AAFFFAAFFZFFZFFZFFACAFFZFFZFFZFFZF,16.64,15.55,10.81
18904,16,AAFFZFFZFFZFFAAFFZFZFFZFFZFFZF,2.14,215AAFFZFFZFFZFFAAFFZFZFFZFFZFFZF,5.89,4.77,2.31
18905,16,FFZFFZFZFFZFZFFZFFZFZFFZFZ,2.89,289FFZFFZFZFFZFZFFZFFZFZFFZFZ,2.51,2.45,2.30
18912,17,AAFACCAFFFZFFZFFZFZFFAAFFFZFZFZFZFFZFZFFFZFF,1.61,162AAFACCAFFFZFFZFFZFZFFAAFFFZFZFZFZFFZFZFFFZFF,40.20,33.93,26.96
18913,17,AAFACCAFFFZFFZFFZFZFZFFFAAFFZFZFZFFZFZFFFZFF,1.61,162AAFACCAFFFZFFZFFZFZFZFFFAAFFZFZFZFFZFZFFFZFF,30.97,27.77,21.26
18916,17,AAFACCAFFFZFZFFFZFZFZFFZFZFFZFZFZFFZFZFFFZFF,1.61,162AAFACCAFFFZFZFFFZFZFZFFZFZFFZFZFZFFZFZFFFZFF,41.48,33.42,26.97
18917,17,AAFACCAFFZFFFZFZFFZFZFFZFZFFZFZFZFFZFZFFFZFF,1.43,143AAFACCAFFZFFFZFZFFZFZFFZFZFFZFZFZFFZFZFFFZFF,72.99,54.45,46.77
18921,17,AAFACCAFFFZFFZFFZFZFFZFZFFAAFFFAAFZFFFZFZFFF,1.61,162AAFACCAFFFZFFZFFZFZFFZFZFFAAFFFAAFZFFFZFZFFF,37.75,31.17,24.80
18943,17,AAFACCAFFFZFFZFFZFZFFZFAAFFFZFFAAFZFFZFFZFFF,1.61,162AAFACCAFFFZFFZFFZFZFFZFAAFFFZFFAAFZFFZFFZFFF,26.34,24.75,18.00
18945,17,AAFACCAFFFZFFZFFZFZFZFFFAAFZFFFAAFZFFZFFZFFF,1.61,162AAFACCAFFFZFFZFFZFZFZFFFAAFZFFFAAFZFFZFFZFFF,39.87,33.57,26.79
18959,17,AAFACCAFFZFFFZFZFFZFZFZFFFAAFFZFZFZFFZFFZFFF,1.61,162AAFACCAFFZFFFZFZFFZFZFZFFFAAFFZFZFZFFZFFZFFF,36.58,31.67,24.80
19006,17,AAFFFZFAAFFFZFZFZFFZFFZFFFACCAFZFZFFZFFFZFZF,1.61,162AAFFFZFAAFFFZFZFZFFZFFZFFFACCAFZFZFFZFFFZFZF,25.07,23.32,17.05
19015,17,AAFFFZFZFZFZFZFFFZFFZFZFACCAFFZFFFZFZFFZFZFF,1.61,162AAFFFZFZFZFZFZFFFZFFZFZFACCAFFZFFFZFZFFZFZFF,27.29,23.89,18.34
19018,17,AAFFFZFAAFFFZFZFFZFFFACCAFZFZFFZFFFZFZFZFZFF,1.61,162AAFFFZFAAFFFZFZFFZFFFACCAFZFZFFZFFFZFZFZFZFF,21.70,18.84,14.14
19031,17,ACCAFZFFFZFFZFZFFZFZFFZFZFFZFZFZFZFFFZFFZFZF,1.43,143ACCAFZFFFZFFZFZFFZFZFFZFZFFZFZFZFZFFFZFFZFZF,67.61,50.69,43.85
19038,17,AAFFFZFFAAFZFFZFZFFZFZFZFFFZFZFFFACCAFZFZFFF,1.61,162AAFFFZFFAAFZFFZFZFFZFZFZFFFZFZFFFACCAFZFZFFF,29.63,25.83,19.45
