STRONGS of xyz file 
file_name 	 STRONGS 
pore1199.xyz.xyz 	 FFFAAFFFZFFZFFZFFZ 
pore12.xyz.xyz 	 FFZFFFZFZFFZFFFZFZ 
pore120.xyz.xyz 	 FFFAAFFFZFFZFFZFFZ 
pore1200.xyz.xyz 	 FFZFFZFFZFFZFFFAAF 
pore1201.xyz.xyz 	 FFFZFZFFZFFFZFZFFZ 
pore1202.xyz.xyz 	 FFFZFZFFFZFZFFFZFZ 
pore1203.xyz.xyz 	 FFFZFZFFZFFFZFZFFZ 
pore1204.xyz.xyz 	 FFFZFFZFFZFFZFFFAA 
pore1205.xyz.xyz 	 FFFZFZFFZFFFZFZFFZ 
pore1206.xyz.xyz 	 FFZFFZFFZFFZFFFAAF 
pore1207.xyz.xyz 	 FFFZFZFFZFFFZFZFFZ 
pore1208.xyz.xyz 	 FFZFZFFFZFZFFFZFZF 
pore1209.xyz.xyz 	 FFFZFFZFZFFFZFFZFZ 
pore121.xyz.xyz 	 FFZFFFZFZFFZFFFZFZ 
pore1210.xyz.xyz 	 FFZFZFFZFFFZFZFFZF 
pore1211.xyz.xyz 	 FFZFZFFFZFFZFZFFFZ 
pore1212.xyz.xyz 	 FFZFFZFZFFFZFFZFZF 
pore1213.xyz.xyz 	 FFFZFZFFFZFZFFFZFZ 
pore1214.xyz.xyz 	 FFZFFZFFZFFFAAFFFZ 
pore1215.xyz.xyz 	 FFZFZFFFZFFZFZFFFZ 
pore1216.xyz.xyz 	 FFZFZFFZFFFZFZFFZF 
pore1217.xyz.xyz 	 FFZFFFZFZFFZFFFZFZ 
pore1218.xyz.xyz 	 FFZFZFFZFFFZFZFFZF 
pore1219.xyz.xyz 	 FFZFFZFFZFFZFFFAAF 
pore122.xyz.xyz 	 FFZFZFFFZFZFFFZFZF 
pore1220.xyz.xyz 	 FFFZFZFFFZFZFFFZFZ 
pore1221.xyz.xyz 	 FFZFFZFFZFFFAAFFFZ 
pore1222.xyz.xyz 	 FFFZFZFFFZFZFFFZFZ 
pore1223.xyz.xyz 	 FFZFFZFFZFFZFFFAAF 
pore1224.xyz.xyz 	 FFFZFFZFFZFFZFFFAA 
pore1225.xyz.xyz 	 FFFZFFZFZFFFZFFZFZ 
pore1226.xyz.xyz 	 FFFZFFZFFZFFZFFFAA 
pore1227.xyz.xyz 	 FFZFFZFFZFFZFFFAAF 
pore1228.xyz.xyz 	 FFZFZFFZFFFZFZFFZF 
pore1229.xyz.xyz 	 FFZFFZFFZFFZFFFAAF 
pore123.xyz.xyz 	 FFZFFZFFFAAFFFZFFZ 
pore1230.xyz.xyz 	 FFFAAFFFZFFZFFZFFZ 
pore1231.xyz.xyz 	 FFFZFFZFFZFFZFFFAA 
pore1232.xyz.xyz 	 FFZFFZFFZFFFAAFFFZ 
pore1233.xyz.xyz 	 FFZFZFFZFFFZFZFFZF 
pore1234.xyz.xyz 	 FFFZFFZFZFFFZFFZFZ 
pore1235.xyz.xyz 	 FFFZFZFFFZFZFFFZFZ 
pore1236.xyz.xyz 	 FFFZFFZFZFFFZFFZFZ 
pore1237.xyz.xyz 	 FFZFFZFFZFFFAAFFFZ 
pore1238.xyz.xyz 	 FFZFFFAAFFFZFFZFFZ 
pore1239.xyz.xyz 	 FFZFZFFZFFFZFZFFZF 
pore124.xyz.xyz 	 FFFZFFZFFZFFZFFFAA 
pore1240.xyz.xyz 	 FFFZFFZFFZFFZFFFAA 
pore1241.xyz.xyz 	 FFZFFZFFFAAFFFZFFZ 
pore1242.xyz.xyz 	 FFFZFZFFFZFZFFFZFZ 
pore1243.xyz.xyz 	 FFZFZFFFZFFZFZFFFZ 
pore1244.xyz.xyz 	 FFFZFZFFZFFFZFZFFZ 
pore1245.xyz.xyz 	 FFZFFZFFZFFZFFFAAF 
pore1246.xyz.xyz 	 FFFZFZFFZFFFZFZFFZ 
pore1247.xyz.xyz 	 FFZFZFFFZFFZFZFFFZ 
pore1248.xyz.xyz 	 FFFZFZFFZFFFZFZFFZ 
pore1249.xyz.xyz 	 FFZFFZFFZFFFAAFFFZ 
pore125.xyz.xyz 	 FFFZFZFFFZFZFFFZFZ 
pore1250.xyz.xyz 	 FFZFZFFFZFZFFFZFZF 
pore1251.xyz.xyz 	 FFZFZFFZFFFZFZFFZF 
pore1252.xyz.xyz 	 FFZFFZFFZFFFAAFFFZ 
pore1253.xyz.xyz 	 FFFZFZFFFZFZFFFZFZ 
pore1254.xyz.xyz 	 FFZFFZFFZFFZFFFAAF 
pore1255.xyz.xyz 	 FFZFFZFFZFFFAAFFFZ 
pore1256.xyz.xyz 	 FFFZFFZFZFFFZFFZFZ 
pore1257.xyz.xyz 	 FFZFFZFZFFFZFFZFZF 
pore1258.xyz.xyz 	 FFZFFZFFFAAFFFZFFZ 
pore1259.xyz.xyz 	 FFFZFZFFZFFFZFZFFZ 
pore126.xyz.xyz 	 FFZFFFAAFFFZFFZFFZ 
pore1260.xyz.xyz 	 FFFZFZFFZFFFZFZFFZ 
pore1261.xyz.xyz 	 FFZFZFFFZFZFFFZFZF 
pore1262.xyz.xyz 	 FFZFFZFZFFFZFFZFZF 
pore1263.xyz.xyz 	 FFFAAFFFZFFZFFZFFZ 
pore1264.xyz.xyz 	 FFFAAFFFZFFZFFZFFZ 
pore1265.xyz.xyz 	 FFZFFFZFZFFZFFFZFZ 
pore1266.xyz.xyz 	 FFZFFZFFFAAFFFZFFZ 
pore1267.xyz.xyz 	 FFFZFFZFZFFFZFFZFZ 
pore1268.xyz.xyz 	 FFZFFZFZFFFZFFZFZF 
pore1269.xyz.xyz 	 FFFZFZFFFZFZFFFZFZ 
pore127.xyz.xyz 	 FFFZFFZFFZFFZFFFAA 
pore1270.xyz.xyz 	 FFZFZFFFZFZFFFZFZF 
pore1271.xyz.xyz 	 FFZFFFAAFFFZFFZFFZ 
pore1272.xyz.xyz 	 FFZFFZFZFFFZFFZFZF 
pore1273.xyz.xyz 	 FFZFFFZFZFFZFFFZFZ 
pore1274.xyz.xyz 	 FFFAAFFFZFFZFFZFFZ 
pore1275.xyz.xyz 	 FFZFZFFFZFZFFFZFZF 
pore1276.xyz.xyz 	 FFZFZFFFZFZFFFZFZF 
pore1277.xyz.xyz 	 FFZFFZFFZFFZFFFAAF 
pore1278.xyz.xyz 	 FFZFZFFZFFFZFZFFZF 
pore1279.xyz.xyz 	 FFZFFZFFZFFZFFFAAF 
pore128.xyz.xyz 	 FFZFZFFFZFZFFFZFZF 
pore1280.xyz.xyz 	 FFFAAFFFZFFZFFZFFZ 
pore1281.xyz.xyz 	 FFFZFFZFFZFFZFFFAA 
pore1282.xyz.xyz 	 FFFAAFFFZFFZFFZFFZ 
pore1283.xyz.xyz 	 FFZFFZFFZFFFAAFFFZ 
pore1284.xyz.xyz 	 FFZFFFAAFFFZFFZFFZ 
pore1285.xyz.xyz 	 FFZFFFZFZFFZFFFZFZ 
pore1286.xyz.xyz 	 FFFZFZFFFZFZFFFZFZ 
pore1287.xyz.xyz 	 FFZFZFFZFFFZFZFFZF 
pore1288.xyz.xyz 	 FFFZFZFFFZFZFFFZFZ 
pore1289.xyz.xyz 	 FFZFZFFFZFZFFFZFZF 
pore129.xyz.xyz 	 FFZFFFAAFFFZFFZFFZ 
pore1290.xyz.xyz 	 FFZFZFFFZFFZFZFFFZ 
pore1291.xyz.xyz 	 FFZFZFFZFFFZFZFFZF 
pore1292.xyz.xyz 	 FFZFZFFFZFZFFFZFZF 
pore1293.xyz.xyz 	 FFFZFZFFFZFZFFFZFZ 
pore1294.xyz.xyz 	 FFFZFZFFFZFZFFFZFZ 
pore1295.xyz.xyz 	 FFFAAFFFZFFZFFZFFZ 
pore1296.xyz.xyz 	 FFZFFFZFZFFZFFFZFZ 
