STRONGS of xyz file 
file_name 	 STRONGS 
100_1621.xyz 	 ZFZFZFZFFAAFFZFZFFAAFFZFZFZFZFFZFFSZFFFAAFFAAFFZFFSFFAAFFZFFSFFSFZFF 
100_1622.xyz 	 FFFSFFSFZFFAAFFZFZFZFFAAFFFSFZFZFFSFFZFAAFFFAAFZFFAAFFFSFFSFFZFSFFZFZFFSFFSFFAA 
100_1892.xyz 	 ZFFASFFZFSFFZFZFZFFFSZFFFSFZFFSFFZFZFZFZFFAAFFZFFAAFZF 
100_1921.xyz 	 FFAAFZFFZFZFZFFFSFZFZFZFZFFFSFZFZFFZFZFZFZFFFASZFFFAAFZFFAAF 
100_2071.xyz 	 ZFZFFFSZFFZFZFZFZFFAAFFFSFZFFAAFFAAFFFSFFAAFFAAFFFSFZFZF 
100_2251.xyz 	 AFFSFFZFZFZFFASFFAAFFFSFZFFSFFZFZFAAFFFAAFFAAFFFSFZFFFSZFFZFAAFFFAAFFAAFFFSFFA 
100_301.xyz 	 FFZFFSZFFZFFAAFFZFFAAFZFFFAAFFAAFFZFZFFZFZFZFFFSFAAF 
100_391.xyz 	 FFAAFZFFFSFFSFFAAFFZFZFFSFFZFZFZFZFFFASFZFZFFZFZFZFFSFFAAF 
100_482.xyz 	 ZFZFZFFZFZFZFFAAFFZFZFFFSFAAFFFSFFAAFFFSFFAAFFZFZFZFFASFF 
100_631.xyz 	 FFZFFSZFFFAAFFAAFFFSFFSFFAAFFFASFZFFAAFFSFFZFFSFZFFAAFFZFZFZFFZFZFAAFFFZFS 
100_632.xyz 	 FFZFASFZFFFSFZFFZFZFFSFFAAFFFAAFFZFFASFFSFFZFZFFAAF 
100_721.xyz 	 FFZFFSFFAAFFFSFZFFFSZFFZFZFZFZFFZFZFFSFZFFZFZFZFZFFFASFZFZFZFFZFS 
100_871.xyz 	 FFAAFFFSZFFZFZFFAAFFFSFFAAFFFSFFSFZFFZFFASZFFFSFFZFAAFFFSFFAAFFFS 
100_872.xyz 	 FFFSZFZFFZFZFZFFAAFFZFZFZFFZFAAFFFSFFSFFZFSFFZFZFFSFFAAFFZFZFZFFAAFFZFZ 
100_901.xyz 	 FFAAFFZFZFZFZFFZFAAFFFAAFFZFAAFFFAAFZFFZFZFZFFSFFZFZFZFZFFAAFFFZFASZFF 
222_11.xyz 	 FFAAFFFZFZFFZFZFFFAAFFZFFFS 
222_12.xyz 	 FFAAFFFZFZFFZFZFFFAAFFZFFZ 
222_13.xyz 	 FFAAFFFZFZFFZFZFFFSFFZFZFFZ 
222_14.xyz 	 FFFSFFZFZFFZFZFFFSFFZFZFFZFZ 
222_15.xyz 	 FFFSFFZFZFZFFFAAFFFSFFZFZFFZFZ 
222_16.xyz 	 FFFSFFAAFFFAAFFFAAFFFSFFZFZFFZFZ 
222_17.xyz 	 FFFSFFAAFFFAAFFFAAFFZFFZFZFFZFZ 
222_18.xyz 	 FFZFFAAFFFAAFFFAAFFZFFZFZFFZFZ 
222_19.xyz 	 FFZFFAAFFFAAFFFSFFZFZFFZFZFFZFZ 
222_20.xyz 	 FFZFZFFFSFFAAFFFSFFZFZFFZFZFFZFZ 
222_21.xyz 	 FFZFZFFFSFFAAFFZFFZFZFFZFZFFZFZ 
222_22.xyz 	 FFZFZFFZFFAAFFZFFZFZFFZFZFFZFZ 
222_23.xyz 	 FFZFZFFZFFSFFZFZFFZFZFFZFZFFZFZ 
222_24.xyz 	 FFZFZFFZFZFFZFZFFZFZFFZFZFFZFZ 
222_25.xyz 	 FFZFZFFZFZFFZFZFFZFZFFAAFFFZFZFZ 
222_26.xyz 	 FFZFZFFZFZFFZFZFFZFZFFAAFFFAAFFFAA 
222_27.xyz 	 FFZFZFFZFZFFZFZFFZFZFZFFFSFFAAFFFAA 
222_28.xyz 	 ZFZFZFFZFZFFZFZFFZFZFZFFFSFFAAFFFSFF 
222_29.xyz 	 ZFZFZFFZFZFFZFZFFAAFFFAAFFFSFFAAFFFSFF 
222_30.xyz 	 FFFAAFFZFZFFZFZFFAAFFFAAFFFSFFAAFFFSFFAA 
222_31.xyz 	 FFFAAFFZFZFFZFZFFAAFFFAAFFZFFAAFFFSFFAA 
222_32.xyz 	 FFFAAFFZFZFFZFZFFAAFFFAAFFZFFAAFFZFFAA 
222_33.xyz 	 FFFAAFFZFZFFZFZFZFFFSFFAAFFZFFAAFFZFFAA 
222_34.xyz 	 FFFSFFZFZFZFFZFZFZFFFSFFAAFFZFFAAFFZFFAA 
222_35.xyz 	 FFFSFFZFZFZFFZFZFZFFFSFFAAFFZFZFFFSFZFFAA 
222_36.xyz 	 FFFSFFZFZFZFFZFZFZFFFSFFAAFFZFZFFZFZFFAA 
222_37.xyz 	 FFFSFFZFZFZFFAAFFFAAFFFSFFAAFFZFZFFZFZFFAA 
222_38.xyz 	 FFFSFFAAFFFAAFFAAFFFAAFFFSFFAAFFZFZFFZFZFFAA 
222_39.xyz 	 FFFSFFAAFFFAAFFAAFFFAAFFZFFAAFFZFZFFZFZFFAA 
222_40.xyz 	 FFZFFAAFFFAAFFAAFFFAAFFZFFAAFFZFZFFZFZFFAA 
222_41.xyz 	 FFZFFAAFFFAAFZFFFSFFAAFFZFFAAFFZFZFFZFZFFAA 
222_42.xyz 	 FFZFFAAFFFSFFAAFFFSFFAAFFZFFAAFFZFZFFZFZFFAA 
222_43.xyz 	 FFZFFAAFFFSFFAAFFFSFFAAFFZFFSFFZFZFZFFZFZFFAA 
222_44.xyz 	 ZFFSFFZFZFZFFZFZFZFFFSFZFFAAFFFSFFAAFFFSFFAAFF 
222_45.xyz 	 ZFFSFFZFZFZFFZFZFZFFZFZFFAAFFFSFFAAFFFSFFAAFF 
222_46.xyz 	 ZFZFFAAFFFSFFAAFFFSFFAAFFZFZFFZFZFZFFZFZFZFF 
222_47.xyz 	 ZFZFFAAFFFSFFAAFFZFFAAFFZFZFFZFZFZFFZFZFZFF 
222_48.xyz 	 ZFZFFAAFFZFFAAFFZFFAAFFZFZFFZFZFZFFZFZFZFF 
222_49.xyz 	 ZFZFFAAFFZFFAAFFZFFSFFZFZFZFFZFZFZFFZFZFZFF 
222_50.xyz 	 ZFZFZFFFSFZFFAAFFZFFSFFZFZFZFFZFZFZFFZFZFZFF 
222_51.xyz 	 ZFZFZFFFSFZFFAAFFZFFSFFZFZFZFFAAFFFAAFFZFZFZFF 
222_52.xyz 	 FFAAFFZFZFZFFFSFZFFAAFFZFFSFFZFZFZFFAAFFFAAFFAAF 
222_53.xyz 	 FFAAFFZFZFZFFFSFZFFAAFFZFZFFZFZFZFFAAFFFAAFFAAF 
222_54.xyz 	 FFAAFFZFZFZFFZFZFFAAFFZFZFFZFZFZFFAAFFFAAFFAAF 
222_55.xyz 	 FFAAFFZFZFZFFZFZFFSFFZFZFZFFZFZFZFFAAFFFAAFFAAF 
